ark_id,title,artist_name,category_name
cl010091953,Prométhée attaché sur le mont Caucase, un aigle lui dévore le foie,"Adam, Nicolas-Sébastien , France",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010063533,Raisins, pêches et grand verre,"Aelst, Willem van , Pays-Bas",Département des Peintures
cl010278706,Gladiateur Borghèse,Agasias,Département des Antiquités grecques, étrusques et romaines
cl010110940,Montre ronde : l'Education de l'Amour d'après Boucher,"Ageron, François , Boucher, François",Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes
cl010100024,Montre ronde,Ageron, François,Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes
cl010282226,figurine,Agestratos,Département des Antiquités grecques, étrusques et romaines
cl010282356,figurine,Aglaophôn,Département des Antiquités grecques, étrusques et romaines
cl010112536,Statuette : saint Sébastien,Agnesius, Jacob,Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes
cl010111235,Vitrail illustrant le règne de François Ier,"Alaux, Jean , Manufacture de Sèvres",Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes
cl010062295,La Toilette de Vénus, dit aussi à tort L'Air,"Albani, Francesco , Italie",Département des Peintures
cl010066549,Saint François d'Assise en oraison devant un crucifix,"Albani, Francesco , Italie",Département des Peintures
cl010062296,Apollon et Daphné,"Albani, Francesco , Italie",Département des Peintures
cl010062395,La Nativité,"Albani, Francesco , Italie",Département des Peintures
cl010066324,Actéon métamorphosé en cerf,"Albani, Francesco , Italie",Département des Peintures
cl010053379,La Fécondité,"Albani, Francesco , Italie",Département des Peintures
cl010062294,Le Christ et la Madeleine,"Albani, Francesco , Italie",Département des Peintures
cl010062424,Adonis conduit près de Vénus par les amours, dit aussi à tort L'Eau,"Albani, Francesco , Italie",Département des Peintures
cl010066326,Les Amours désarmés par les nymphes de Diane, dit aussi à tort La Terre,"Albani, Francesco , Italie",Département des Peintures
cl010066907,L'Annonciation,"Albani, Francesco , Italie",Département des Peintures
cl010062314,Salmacis et Hermaphrodite,"Albani, Francesco , Italie",Département des Peintures
cl010062425,Le Repos de Vénus et de Vulcain, dit aussi à tort Le Feu,"Albani, Francesco , Italie",Département des Peintures
cl010100290,Médaillon : Autoportrait,Alberti, Leon Battista,Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes
cl010102272,Bas-relief : allégorie,Aldegrever, Heinrich,Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes
cl010116548,Relief : allégorie,Aldegrever, Heinrich,Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes
cl010114057,Bas-relief : La jolie fille d'Augsbourg et le prince de Bavière,Aldegrever, Heinrich,Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes
cl010095633,La Vierge allaitant l'Enfant sur le croissant de lune,"Aleijo de Vahio , Espagne",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010114232,Groupe sculpté : Jupiter foudroyant les Titans,"Algardi, Alessandro , Maison Christofle",Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes
cl010111056,Statuette : Hercule enfant et le serpent,Algardi, Alessandro,Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes
cl010091000,La Vierge et l'Enfant entourée d'Anges,"Algardi, Alessandro , Italie",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010065810,Vue prise à Amalfi, dans le golfe de Salerne,"Aligny, Théodore Caruelle d' , France",Département des Peintures
cl010066413,Prométhée,"Aligny, Théodore Caruelle d' , France",Département des Peintures
cl010104860,Montre ronde assortie d'une châtelaine,Allam, William,Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes
cl010091955,Vénus sortant du bain,"Allegrain, Christophe-Gabriel , France",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010091954,Diane surprise par Actéon,"Allegrain, Christophe-Gabriel , France",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010059610,Portrait de jeune femme,"Allemagne , Tischbein, Johann Friedrich August",Département des Peintures
cl010093271,Buste d'homme, dit Frédéric III, empereur d'Allemagne (1452-1493),"Allemagne , Pays Germaniques et de l'Europe de l'Est",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010093201,Un donateur et sa famille avec trois saints patrons,"Allemagne , France Est de la France , Anciens Pays-Bas et Belgique",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010094554,Christ mort,"Allemagne , Pays Germaniques et de l'Europe de l'Est",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010092428,Adam et Ève,"Allemagne , Pays-Bas , Pays Germaniques et de l'Europe de l'Est",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010060895,Portrait d'homme âgé de vingt-cinq ans, tenant un oeillet et un chapelet orné d'une petite tête de mort sculptée.,"Allemagne Augsbourg , Amberger, Christoph",Département des Peintures
cl010091542,Homme agenouillé,"Allemagne Augsbourg , Pays Germaniques et de l'Europe de l'Est",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010091543,Femme agenouillée,"Allemagne Augsbourg , Pays Germaniques et de l'Europe de l'Est",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010494861,Nimbe émaillé,Allemagne Cologne,Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes
cl010095261,Trois apôtres endormis dans le jardin de Gethsémani,Allemagne du Sud,Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010095311,Le Christ de l'Ascension,"Allemagne du Sud , Pays Germaniques et de l'Europe de l'Est",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010095664,Saint Paul,"Allemagne du Sud , Pays Germaniques et de l'Europe de l'Est",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010094484,Jeune saint, peut-être Saint Louis de Gonzague,"Allemagne du Sud , Pays Germaniques et de l'Europe de l'Est",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010095658,La Vierge et l'Enfant,"Allemagne du Sud , Pays Germaniques et de l'Europe de l'Est",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010114107,Théodolite,Allen, Elias,Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes
cl010060319,Diane découvrant la grossesse de Callisto,"Alsloot, Denijs van , Clerck, Hendrick de , Pays-Bas du Sud",Département des Peintures
cl010064499,Paysage d'hiver,"Alsloot, Denijs van , Pays-Bas du Sud",Département des Peintures
cl010093132,Nativité,"Anciens Pays-Bas et Belgique , Anciens Pays-Bas et Belgique, Brabant",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010093620,La Vierge et l'Enfant,"Anciens Pays-Bas et Belgique , Pays-Bas septentrionaux",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010093935,La Vierge et l'Enfant,"Anciens Pays-Bas et Belgique , Anciens Pays-Bas et Belgique, Malines",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010094079,La Nativité,"Anciens Pays-Bas et Belgique , Pays-Bas Utrecht",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010094538,Le Portement de croix,"Anciens Pays-Bas et Belgique , Anciens Pays-Bas et Belgique, Brabant, Bruxelles",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010094716,La Mise au tombeau,"Anciens Pays-Bas et Belgique , Pays-Bas",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010095041,Portrait de Christian Fürchtegott Gellert (1715-1769),"Anciens Pays-Bas et Belgique , Belgique , Tassaert, Jean Pierre Antoine",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010095292,La Vierge allaitant l'Enfant,"Anciens Pays-Bas et Belgique , Pays-Bas Utrecht",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010095353,La Vierge et l'Enfant,"Anciens Pays-Bas et Belgique , Anciens Pays-Bas et Belgique, Malines",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010095661,Sainte trônante,"Anciens Pays-Bas et Belgique , Pays-Bas Meuse , Pays Germaniques et de l'Europe de l'Est Rhin Moyen",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010093571,Jessé,"Anciens Pays-Bas et Belgique , Pays-Bas",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010093577,La Vierge et l'Enfant,"Anciens Pays-Bas et Belgique , Anciens Pays-Bas et Belgique, Malines",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010093865,Buste-reliquaire d'un évêque,"Anciens Pays-Bas et Belgique , Pays-Bas",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010093936,Homme agenouillé en prière,"Anciens Pays-Bas et Belgique , Anciens Pays-Bas et Belgique, Brabant, Bruxelles",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010093997,Saint Léonard,"Anciens Pays-Bas et Belgique , Maitre d'Elsloo",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010094382,Saint Sébastien,"Anciens Pays-Bas et Belgique , Anciens Pays-Bas et Belgique, Brabant, Bruxelles",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010094518,Un Mariage,"Anciens Pays-Bas et Belgique , Anciens Pays-Bas et Belgique",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010095636,Saint Jean de Calvaire,"Anciens Pays-Bas et Belgique , Pays-Bas",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010092623,Plaque funéraire de Petrus Zatrylla (+1400),"Anciens Pays-Bas et Belgique , Pays-Bas méridionaux",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010093129,Saint Jean Baptiste,"Anciens Pays-Bas et Belgique , Pays-Bas méridionaux",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010093866,L'Annonciation,"Anciens Pays-Bas et Belgique , Anciens Pays-Bas et Belgique",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010093962,Sainte Barbe,"Anciens Pays-Bas et Belgique , Anciens Pays-Bas et Belgique",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010094297,Saint Pierre,"Anciens Pays-Bas et Belgique , Belgique , Quellien, Artus",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010094360,Saint Roch,"Anciens Pays-Bas et Belgique , Pays-Bas",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010094715,Saint Christophe, un donateur et ses deux fils,"Anciens Pays-Bas et Belgique , Anciens Pays-Bas et Belgique, Hainaut, Mons",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010095352,La Vierge et l'Enfant,"Anciens Pays-Bas et Belgique , Anciens Pays-Bas et Belgique, Malines",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010095635,La Vierge de Calvaire,"Anciens Pays-Bas et Belgique , Pays-Bas",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010094755,Cavaliers au pied de la croix,Anciens Pays-Bas et Belgique, Brabant,Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010092624,La Déploration,Anciens Pays-Bas et Belgique, Brabant, Anvers,Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010093938,Moine,Anciens Pays-Bas et Belgique, Brabant, Anvers,Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010094366,Jessé et un prophète,Anciens Pays-Bas et Belgique, Brabant, Anvers,Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010094709,Caisse de la Mise au tombeau RF 2807,Anciens Pays-Bas et Belgique, Brabant, Anvers,Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010094521,Personnage portant les outils de la Crucifixion,Anciens Pays-Bas et Belgique, Brabant, Anvers,Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010092612,Trois soldats et deux hommes assistant à la Crucifixion dans un paysage rocheux avec les murailles de Jérusalem,Anciens Pays-Bas et Belgique, Brabant, Anvers,Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010092792,Sainte femme,Anciens Pays-Bas et Belgique, Brabant, Anvers,Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010093937,L'Annonciation,Anciens Pays-Bas et Belgique, Brabant, Anvers,Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010094074,Retable de la Passion et de l'enfance du Christ,Anciens Pays-Bas et Belgique, Brabant, Anvers,Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010094706,Le Portement de croix,Anciens Pays-Bas et Belgique, Brabant, Anvers,Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010094520,Prophète,Anciens Pays-Bas et Belgique, Brabant, Anvers,Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010094597,Personnage masculin,Anciens Pays-Bas et Belgique, Brabant, Anvers,Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010092791,Sainte femme,Anciens Pays-Bas et Belgique, Brabant, Anvers,Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010093939,Moine,Anciens Pays-Bas et Belgique, Brabant, Anvers,Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010094546,L'Évanouissement de la Vierge,"Anciens Pays-Bas et Belgique, Brabant, Anvers , Anciens Pays-Bas et Belgique",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010094707,Caisse du Portement de croix RF 2806,Anciens Pays-Bas et Belgique, Brabant, Anvers,Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010094708,La Mise au tombeau,Anciens Pays-Bas et Belgique, Brabant, Anvers,Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010095354,La Déploration,Anciens Pays-Bas et Belgique, Brabant, Anvers,Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010095596,La Descente de croix,"Anciens Pays-Bas et Belgique, Brabant, Anvers , Anciens Pays-Bas et Belgique",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010094595,Prophète,Anciens Pays-Bas et Belgique, Brabant, Anvers,Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010093268,La Vierge,"Anciens Pays-Bas et Belgique, Brabant, Bruxelles , Anciens Pays-Bas et Belgique, Brabant, Bruxelles",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010093995,L'Annonciation,"Anciens Pays-Bas et Belgique, Brabant, Bruxelles , Anciens Pays-Bas et Belgique",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010093131,Sage-femme dans l'étable de la Nativité surmontée des figures des bergers et des mages,"Anciens Pays-Bas et Belgique, Brabant, Bruxelles , Anciens Pays-Bas et Belgique",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010093133,La Vierge et l'Enfant assise sur un banc,"Anciens Pays-Bas et Belgique, Brabant, Bruxelles , Anciens Pays-Bas et Belgique",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010093267,Le Christ en croix,"Anciens Pays-Bas et Belgique, Brabant, Bruxelles , Anciens Pays-Bas et Belgique, Brabant, Bruxelles",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010093737,La Vierge et l'Enfant assise sur un pliant,"Anciens Pays-Bas et Belgique, Brabant, Bruxelles , Anciens Pays-Bas et Belgique",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010094638,L'Ange de l'Annonciation,"Anciens Pays-Bas et Belgique, Brabant, Bruxelles , Anciens Pays-Bas et Belgique",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010093266,Le Christ en croix, la Vierge et saint Jean,"Anciens Pays-Bas et Belgique, Brabant, Bruxelles , Anciens Pays-Bas et Belgique, Brabant, Bruxelles",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010093269,Saint Jean,"Anciens Pays-Bas et Belgique, Brabant, Bruxelles , Anciens Pays-Bas et Belgique, Brabant, Bruxelles",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010095657,La Vierge et l'Enfant,"Anciens Pays-Bas et Belgique, Brabant, Bruxelles , Anciens Pays-Bas et Belgique",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010095659,Vierge de l'Annonciation,"Anciens Pays-Bas et Belgique, Brabant, Bruxelles , Anciens Pays-Bas et Belgique",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010093766,Ange de l'Annonciation,Anciens Pays-Bas et Belgique, Hainaut, Tournai,Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010092615,Saint Michel,"Anciens Pays-Bas et Belgique, Malines , Anciens Pays-Bas et Belgique",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010094519,La Vierge et l'Enfant,"Anciens Pays-Bas et Belgique, Malines , Anciens Pays-Bas et Belgique",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010092605,Saint Georges terrassant le dragon,"Anciens Pays-Bas et Belgique, Malines , Anciens Pays-Bas et Belgique",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010094092,L'Enfant Jésus,Anciens Pays-Bas et Belgique, Malines,Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010112576,Cadran horizontal à fil-axe,André, A.,Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes
cl010419403,Flore Farnèse,André, Antoine,Sculptures des jardins
cl010118081,Montre ronde,"André, Jean, dit Frère André , Leris, Claude",Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes
cl010061601,La Charité,"Andrea del Sarto (Andrea d'Agnolo di Francesco, dit) , Italie",Département des Peintures
cl010061599,La Vierge, l'Enfant Jésus, sainte Élisabeth et le petit saint Jean Baptiste,"Andrea del Sarto (Andrea d'Agnolo di Francesco, dit) , Italie",Département des Peintures
cl010061600,La Vierge, l'Enfant Jésus, sainte Élisabeth, le petit saint Jean Baptiste et deux anges, dit La Sainte Famille aux Anges,"Andrea del Sarto (Andrea d'Agnolo di Francesco, dit) , Italie",Département des Peintures
cl010062298,Le Repos pendant la fuite en Égypte ou La Sainte Famille servie par les anges portant les raisins de la Passion,"Andreasi, Ippolito , Italie",Département des Peintures
cl010097979,Assiette : profil d'empereur lauré,Andreoli, Giorgio di Pietro,Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes
cl010099241,Assiette : armoiries des Fregosi de Gênes,Andreoli, Giorgio di Pietro,Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes
cl010112861,Vase en forme de rhyton à anse,Andreoli, Giorgio di Pietro,Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes
cl010116096,Plaque rectangulaire en bas-relief : saint Jérôme,"Andreoli, Giorgio di Pietro , Vittorio di Filippo Floris, dit il Prestino",Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes
cl010107020,"Coupe ronde ""abborchiata"" : portrait de Frédéric III de Montefeltre (1422-1482), duc d'Urbino",Andreoli, Giorgio di Pietro,Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes
cl010112863,Assiette,Andreoli, Giorgio di Pietro,Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes
cl010099621,Coupe ronde : armoiries de la famille Amadori de Bologne (?),Andreoli, Giorgio di Pietro,Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes
cl010112868,Assiette : armoiries des Saracinelli d'Orvieto,Andreoli, Giorgio di Pietro,Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes
cl010113708,"Coupe ronde ""abborchiata"" : Vierge à l'Enfant",Andreoli, Giorgio di Pietro,Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes
cl010113621,L’Ecole des Mines du Mont-Blanc,"Andrieu, Bertrand , Denon, Dominique Vivant , Brenet, Nicolas Guy Antoine",Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes
cl010458516,La salle du Laocoon au musée Napoléon, 1804,"Andrieu, Bertrand , Denon, Dominique Vivant",Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes
cl010113566,Médaille : Aux orphelines de la Légion d'honneur, 1810,"Andrieu, Bertrand , Depaulis, Alexis-Joseph , Denon, Dominique Vivant",Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes
cl010113620,Médaille : Passage du Simplon, 1807,"Andrieu, Bertrand , Brenet, Nicolas Guy Antoine",Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes
cl010113622,Baptême du roi de Rome, 1811,"Andrieu, Bertrand , Lafitte, Louis",Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes
cl010458425,Baptême du roi de Rome, 1811,"Andrieu, Bertrand , Lafitte, Louis",Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes
cl010458514,Ordre de la Légion d'honneur,"Andrieu, Bertrand , Jaley, Louis , Denon, Dominique Vivant",Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes
cl010110093,Ordre de la Légion d'honneur,"Andrieu, Bertrand , Jaley, Louis , Denon, Dominique Vivant",Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes
cl010110094,Médaille : Retraite de l'Armée, 1812,"Andrieu, Bertrand , Galle, André , Denon, Dominique Vivant",Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes
cl010113565,La salle du Laocoon au musée Napoléon, 1804,"Andrieu, Bertrand , Denon, Dominique Vivant",Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes
cl010450382,Médaille : Retraite de l'Armée, 1812,"Andrieu, Bertrand , Galle, André , Denon, Dominique Vivant",Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes
cl010091594,Le Christ et la Samaritaine,Angleterre,Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010092426,Dais,Angleterre,Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010092597,La Descente du Christ aux limbes,Angleterre,Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010092598,Saint Paul,Angleterre,Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010092600,Dais,Angleterre,Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010094226,Le Pèsement des âmes,Angleterre,Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010094229,Le Christ conduit au supplice,Angleterre,Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010095288,Portrait présumé d'un aristocrate irlandais,"Angleterre , Van Nost, John le jeune",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010093647,Le Christ devant Pilate,Angleterre,Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010094227,La Naissance de saint Jean Baptiste,Angleterre,Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010094364,Saint Simon ou saint Vincent,Angleterre,Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010094512,La Trinité,Angleterre,Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010094652,Le Christ de la Descente aux limbes,Angleterre,Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010094228,L'Arrestation du Christ,Angleterre,Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010099952,Montre ronde à double couvercle,Anglois, Coupe,Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes
cl010091136,Épitaphe d'Henri Chabot, duc de Rohan,"Anguier, François , France",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010091276,Jacques-Auguste de Thou (Paris,1553 - Paris,1617),"Anguier, François , France",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010092084,Génie versant de l'eau dans du vin,"Anguier, François , France",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010092086,Génie tenant une balance,"Anguier, François , France",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010092337,Couronne de fleurs et de fruits,"Anguier, François , France",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010092338,Couronne de fleurs et de fruits,"Anguier, François , France",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010092339,Obélisque,"Anguier, François , France",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010092558,L'histoire écrivant le titre des oeuvres de Jacques-Auguste de Thou, entourée des génies de l'Etude et de la Justice,"Anguier, François , France",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010505305,Modèle du tombeau de Jacques de Souvré, chevalier de l'ordre de Malte, grand prieur de France,Anguier, François,Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010091279,Gasparde de la Châtre (+1616) seconde femme de Jacques-Auguste de Thou,"Anguier, François , France",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010091936,Les Sacrifiantes,"Anguier, François , Perlan, Henri , France , D'après l'antique",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010091956,La Force,"Anguier, François , France",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
